raining	0.25	0.25	0.0
-lori	0.0	0.5	0.0
itchie_warden	0.0	0.0	1.0
beerandtacos	0.5	0.0	0.0
ireshire	0.0	0.0	1.0
galactica	0.5	0.0	0.0
yellow	0.5	0.0	0.0
four	0.222222222222	0.0555555555556	0.444444444444
canada-	0.0	0.0	1.0
laniesse	0.5	0.0	0.0
woods	0.09375	0.0625	0.6875
layersnews	0.0	0.0	1.0
friend's	0.0	0.5	0.0
francesco	0.0	0.5	0.0
woody	0.5	0.0	0.0
jvictoriacnd	0.5	0.0	0.0
cyprus	0.0	0.0	1.0
wookie	0.5	0.0	0.0
aggression	0.0	0.5	0.0
marching	0.34375	0.0625	0.1875
increase	0.0	0.0	1.0
canes	0.0	0.0	1.0
cava	0.5	0.0	0.0
assessment	0.0	0.0	1.0
snowing	0.5	0.0	0.0
shating	0.5	0.0	0.0
mid-week	0.0	0.0	1.0
windass	0.5	0.0	0.0
skipping	0.25	0.25	0.0
tingle	0.5625	0.0	0.0
investors	0.5	0.0	0.0
unnecessarily	0.1875	0.0	1.0
rickman	0.142857142857	0.0714285714286	0.571428571429
lord	0.142857142857	0.142857142857	0.428571428571
aiden	0.5	0.0	0.0
schalke	0.5	0.0	0.0
shaving	0.0	0.5	0.0
protestants	0.0	0.5	0.0
outube	0.222222222222	0.0277777777778	0.5
digit	0.0	0.5	0.0
update-	0.5	0.0	0.0
breeders	0.0	0.0	1.0
ontbuythesunanyday	0.0	0.0	1.0
regional	0.333333333333	0.0	0.333333333333
x-men	0.25	0.0	0.5
wirch	0.0	0.0	1.0
foul	0.1	0.775	0.0
taj	0.5	0.0	0.0
ndrewilamb	0.0	0.5	0.0
hisgirl	0.0	0.0	1.0
resleyautumn	0.0	0.0	1.0
bringing	0.166666666667	0.0	0.666666666667
inkelephantpun	0.0	0.0	1.0
basics	0.0	0.0	1.0
prize	0.333333333333	0.0	0.333333333333
alinea's	0.0	0.0	1.0
-car	0.0	0.0	1.0
hordern	0.0	0.0	1.0
deeply	0.0	0.5	0.0
wednesday	0.153333333333	0.0733333333333	0.546666666667
eskom	0.0	0.0	1.0
pm-midnight	0.0	0.0	1.0
klittle	0.0	0.0	1.0
solid	0.333333333333	0.0	0.333333333333
roblemsolved	0.0	0.0	1.0
hague	0.0	0.0	1.0
oooh	0.333333333333	0.0833333333333	0.166666666667
chiavellovoice	0.0	0.0	1.0
elmbridge	0.5	0.0	0.0
talib	0.0	0.0	1.0
commented	0.0	0.0	1.0
sawgrass	0.0	0.0	1.0
ujagalum	0.5	0.0	0.0
merlin	0.214285714286	0.107142857143	0.357142857143
furney	0.0	0.0	1.0
tired	0.0833333333333	0.25	0.333333333333
eltron	0.0	0.0	1.0
miller	0.5	0.0	0.0
hanging	0.25	0.0	0.5
bacon	0.0625	0.0	1.0
ord_voldemort	0.0	0.5	0.0
umm	0.333333333333	0.0	0.333333333333
elections	0.0	0.214285714286	0.571428571429
scheming	0.125	0.0	1.0
second	0.125	0.1	0.55
toproguetipsters	0.5	0.0	0.0
devildriver	0.0	0.0	1.0
loathing	0.0	0.6875	0.0
drian__one	0.5	0.0	0.0
heroots	0.5	0.0	0.0
hefalcoholic	0.5	0.0	0.0
ds_broncobeat	0.0	0.0	1.0
errors	0.0	0.8125	0.0
t-minus	0.0	0.0	1.0
ubstephh	0.0	0.0	1.0
thunder	0.1	0.2	0.4
alamadrid	0.25	0.0	0.5
boogie	0.0	0.0	1.0
fingers	0.5	0.0	0.0
yea-	0.0	0.0	1.0
bonuses	0.0	0.0	1.0
induprecords	0.5	0.0	0.0
naranjos	0.5	0.0	0.0
thown	0.0	0.5	0.0
eamlcf	0.5	0.0	0.0
sychosix	0.0	0.0	1.0
increasing	0.5	0.0	0.0
tunnel	0.0	0.0	1.0
